nombre,url,categoria
Electricistas de Argentina,https://www.facebook.com/groups/886398221481016/,Argentina
ELECTRICISTAS DE ARGENTINA SOLAMENTE,https://www.facebook.com/groups/145364370924188/,Argentina
Mecanicos de Argentina,https://www.facebook.com/groups/747648012258632/,Argentina
MECANICOS ARGENTINA,https://www.facebook.com/groups/183577257142926/,Argentina
"BOLSA DE TRABAJO AYUDANTE GENERAL, MONTACARGUISTA, ELECTROMECANICO, TECNICO",https://www.facebook.com/groups/2093224790841609/,Argentina
"Automatización, PLC'S y SCADA",https://www.facebook.com/groups/1551546218535078/,Argentina
"Automatización, PLC'S y SCADA (vanity URL)",https://www.facebook.com/groups/automatizacionplc/,Argentina
Automatización Industrial,https://www.facebook.com/groups/3191456850900288/,Argentina
Automatizacion industrial,https://www.facebook.com/groups/44097367129/,Argentina
Automatizacion Industrial,https://www.facebook.com/groups/396923478404609/,Argentina
ELECTRICISTAS TÉCNICO INDUSTRIALES,https://www.facebook.com/groups/393222447511834/,Argentina
electricistas industriales,https://www.facebook.com/groups/640371093163959/,Argentina
Mecánicos Electricistas de Mantenimiento,https://www.facebook.com/groups/633169446853896/,Argentina
Mantenimiento Electromecánico Industrial,https://www.facebook.com/groups/mantenimientomecanicoindustrial/,Argentina
Mecanicos y Electricos Automotrices,https://www.facebook.com/groups/mecanicos.electricos.automotrices/,Argentina
Grupo de Automatización,https://www.facebook.com/groups/394430544547936/,Argentina
Curso CONTROL ELECTROMECÁNICO,https://www.facebook.com/groups/TCELstmeu/,Argentina
IndustrialAutomationPLC,https://t.me/automatizacion_industrialplc,Argentina
PLC programming,https://t.me/plcstudygroup,Argentina
Electrical / Electronics / IT Jobs,https://t.me/Electrical_Electronics_IT_Jobs,Argentina
Mecánicos Automotriz Solicitando Empleo LP-Bolivia,https://www.facebook.com/groups/948544675908376/,Bolivia
mecanicos de Bolivia,https://www.facebook.com/groups/299382736892557/,Bolivia
Bolivia Trabajos,https://t.me/boliviatrabajos,Bolivia
Mecánicos Industriales en Bolivia (trabajos) - publicaciones alternativas,https://www.facebook.com/groups/1460696847374355/posts/6496958230414833/,Bolivia
INGENIERO DE MANTENIMIENTO - Bolivia,https://www.facebook.com/groups/691756064261548/posts/4213912082045911/,Bolivia
"Automatización, PLC'S y SCADA",https://www.facebook.com/groups/1551546218535078/,Bolivia
"Automatización, PLC'S y SCADA (vanity URL)",https://www.facebook.com/groups/automatizacionplc/,Bolivia
Automatización Industrial,https://www.facebook.com/groups/3191456850900288/,Bolivia
Automatizacion industrial,https://www.facebook.com/groups/44097367129/,Bolivia
Automatizacion Industrial,https://www.facebook.com/groups/396923478404609/,Bolivia
ELECTRICISTAS TÉCNICO INDUSTRIALES,https://www.facebook.com/groups/393222447511834/,Bolivia
electricistas industriales,https://www.facebook.com/groups/640371093163959/,Bolivia
Mecánicos Electricistas de Mantenimiento,https://www.facebook.com/groups/633169446853896/,Bolivia
Mantenimiento Electromecánico Industrial,https://www.facebook.com/groups/mantenimientomecanicoindustrial/,Bolivia
Mecanicos y Electricos Automotrices,https://www.facebook.com/groups/mecanicos.electricos.automotrices/,Bolivia
Grupo de Automatización,https://www.facebook.com/groups/394430544547936/,Bolivia
Curso CONTROL ELECTROMECÁNICO,https://www.facebook.com/groups/TCELstmeu/,Bolivia
IndustrialAutomationPLC,https://t.me/automatizacion_industrialplc,Bolivia
PLC programming,https://t.me/plcstudygroup,Bolivia
Electrical / Electronics / IT Jobs,https://t.me/Electrical_Electronics_IT_Jobs,Bolivia
TOP FORNECEDORES E TÉCNICOS BRASIL,https://www.facebook.com/groups/topfornecedoresetecnicosbrasil/,Brasil
Eletricistas urgente vagas,https://www.facebook.com/groups/372706550120964/,Brasil
Compartilhando vagas!,https://www.facebook.com/groups/515435765300852/,Brasil
Engenheiros e Eletricistas do Brasil,https://www.facebook.com/groups/engenheiroseeletricistasdobrasil/,Brasil
Vagas de manutenção industrial e afins,https://www.facebook.com/groups/615686898534485/,Brasil
Vagas e Sala Projetos Industriais,https://t.me/vagasprojetos,Brasil
Engehall Elétrica,https://t.me/canalengehall,Brasil
Vagas Trabalho Manaus,https://t.me/VagastrabalhoBrasil,Brasil
"Automatización, PLC'S y SCADA",https://www.facebook.com/groups/1551546218535078/,Brasil
"Automatización, PLC'S y SCADA (vanity URL)",https://www.facebook.com/groups/automatizacionplc/,Brasil
Automatización Industrial,https://www.facebook.com/groups/3191456850900288/,Brasil
Automatizacion industrial,https://www.facebook.com/groups/44097367129/,Brasil
Automatizacion Industrial,https://www.facebook.com/groups/396923478404609/,Brasil
ELECTRICISTAS TÉCNICO INDUSTRIALES,https://www.facebook.com/groups/393222447511834/,Brasil
electricistas industriales,https://www.facebook.com/groups/640371093163959/,Brasil
Mecánicos Electricistas de Mantenimiento,https://www.facebook.com/groups/633169446853896/,Brasil
Mantenimiento Electromecánico Industrial,https://www.facebook.com/groups/mantenimientomecanicoindustrial/,Brasil
Mecanicos y Electricos Automotrices,https://www.facebook.com/groups/mecanicos.electricos.automotrices/,Brasil
Grupo de Automatización,https://www.facebook.com/groups/394430544547936/,Brasil
Curso CONTROL ELECTROMECÁNICO,https://www.facebook.com/groups/TCELstmeu/,Brasil
Automatización Industrial - Chile,https://www.facebook.com/groups/636795649673297/,Chile
Electromecanicos chile,https://www.facebook.com/groups/1260373040642751/,Chile
"Mecánicos, empleo, taller,chile",https://www.facebook.com/groups/334038874135670/,Chile
Mecanicos - Chile,https://www.facebook.com/groups/174835859701221/,Chile
MECANICOS...DE CHILE PARA EL MUNDO,https://www.facebook.com/groups/787706781395837/,Chile
Prácticas y Primeros Trabajos Chile,https://t.me/PracticasFirstJob,Chile
Hay Pega Chile,https://t.me/haypega_chile,Chile
"Automatización, PLC'S y SCADA",https://www.facebook.com/groups/1551546218535078/,Chile
"Automatización, PLC'S y SCADA (vanity URL)",https://www.facebook.com/groups/automatizacionplc/,Chile
Automatización Industrial,https://www.facebook.com/groups/3191456850900288/,Chile
Automatizacion industrial,https://www.facebook.com/groups/44097367129/,Chile
Automatizacion Industrial,https://www.facebook.com/groups/396923478404609/,Chile
ELECTRICISTAS TÉCNICO INDUSTRIALES,https://www.facebook.com/groups/393222447511834/,Chile
electricistas industriales,https://www.facebook.com/groups/640371093163959/,Chile
Mecánicos Electricistas de Mantenimiento,https://www.facebook.com/groups/633169446853896/,Chile
Mantenimiento Electromecánico Industrial,https://www.facebook.com/groups/mantenimientomecanicoindustrial/,Chile
Mecanicos y Electricos Automotrices,https://www.facebook.com/groups/mecanicos.electricos.automotrices/,Chile
Grupo de Automatización,https://www.facebook.com/groups/394430544547936/,Chile
Curso CONTROL ELECTROMECÁNICO,https://www.facebook.com/groups/TCELstmeu/,Chile
IndustrialAutomationPLC,https://t.me/automatizacion_industrialplc,Chile
ELECTRICISTAS DE COLOMBIA,https://www.facebook.com/groups/398516780602170/,Colombia
Electromecanicos en Colombia,https://www.facebook.com/groups/720555292048502/,Colombia
automatización industrial Colombia,https://www.facebook.com/groups/253764725301419/,Colombia
Mecánicos de Colombia,https://www.facebook.com/groups/mecanicosdecolombia/,Colombia
"INGENIEROS MECÁNICOS, ELECTRICISTAS Y ELECTRÓNICOS DE COLOMBIA",https://www.facebook.com/groups/ingelecmec/,Colombia
"Ingenieros Electricistas, Tecnologos, Tecnicos y afines de Colombia",https://www.facebook.com/groups/119484512048075/,Colombia
Ingenieros Electricistas y Electromecánicos - Colombia,https://www.facebook.com/groups/670509476347428/,Colombia
Talhumano Consultores Empleo,https://t.me/talhumanoconsultores,Colombia
Empleos para Colombia,https://t.me/empleosparacolombia,Colombia
"Automatización, PLC'S y SCADA",https://www.facebook.com/groups/1551546218535078/,Colombia
"Automatización, PLC'S y SCADA (vanity URL)",https://www.facebook.com/groups/automatizacionplc/,Colombia
Automatización Industrial,https://www.facebook.com/groups/3191456850900288/,Colombia
Automatizacion industrial,https://www.facebook.com/groups/44097367129/,Colombia
Automatizacion Industrial,https://www.facebook.com/groups/396923478404609/,Colombia
ELECTRICISTAS TÉCNICO INDUSTRIALES,https://www.facebook.com/groups/393222447511834/,Colombia
electricistas industriales,https://www.facebook.com/groups/640371093163959/,Colombia
Mecánicos Electricistas de Mantenimiento,https://www.facebook.com/groups/633169446853896/,Colombia
Mantenimiento Electromecánico Industrial,https://www.facebook.com/groups/mantenimientomecanicoindustrial/,Colombia
Mecanicos y Electricos Automotrices,https://www.facebook.com/groups/mecanicos.electricos.automotrices/,Colombia
Grupo de Automatización,https://www.facebook.com/groups/394430544547936/,Colombia
"Ofertas de Empleo. Cuba, la Habana.",https://www.facebook.com/groups/1488686108630917/,Cuba
"Empleo , Alquiler , Compra - Venta en Cuba",https://www.facebook.com/groups/517397168411043/,Cuba
CubaMan: Ingeniería de Mantenimiento,https://t.me/CubaManIM,Cuba
CEDAI Empresa de Automatización Integral,https://t.me/AutomatizacionCEDAI,Cuba
